id,category
1,ΓΕΝΕΣΙΣ
2,ΕΞΟΔΟΣ
3,ΛΕΥΙΤΙΚΟΝ
4,ΑΡΙΘΜΟΙ
5,ΔΕΥΤΕΡΟΝΟΜΙΟΝ
6,ΙΗΣΟΥΣ ΤΟΥ ΝΑΥΗ
7,ΚΡΙΤΑΙ
8,ΡΟΥΘ
9,Α΄ ΣΑΜΟΥΗΛ
10,Β΄ ΣΑΜΟΥΗΛ
11,Α΄ ΒΑΣΙΛΕΩΝ
12,Β΄ ΒΑΣΙΛΕΩΝ
13,Α΄ ΧΡΟΝΙΚΩΝ
14,Β΄ ΧΡΟΝΙΚΩΝ
15,ΕΣΔΡΑΣ
16,ΝΕΕΜΙΑΣ
17,ΕΣΘΗΡ
18,ΙΩΒ
19,ΨΑΛΜΟΙ
20,ΠΑΡΟΙΜΙΑΙ
21,ΕΚΚΛΗΣΙΑΣΤΗΣ
22,ΑΣΜΑ ΑΣΜΑΤΩΝ
23,ΗΣΑΪΑΣ
24,ΙΕΡΕΜΙΑΣ
25,ΘΡΗΝΟΙ
26,ΙΕΖΕΚΙΗΛ
27,ΔΑΝΙΗΛ
28,ΩΣΗΕ
29,ΙΩΗΛ
30,ΑΜΩΣ
31,ΟΒΔΙΟΥ
32,ΙΩΝΑΣ
33,ΜΙΧΑΙΑΣ
34,ΝΑΟΥΜ
35,ΑΒΒΑΚΟΥΜ
36,ΣΟΦΟΝΙΑΣ
37,ΑΓΓΑΙΟΣ
38,ΖΑΧΑΡΙΑΣ
39,ΜΑΛΑΧΙΑΣ
40,ΚΑΤΑ ΜΑΤΘΑΙΟΝ
41,ΚΑΤΑ ΜΑΡΚΟΝ
42,ΚΑΤΑ ΛΟΥΚΑΝ
43,ΚΑΤΑ ΙΩΑΝΝΗΝ
44,ΠΡΑΞΕΙΣ ΑΠΟΣΤΟΛΩΝ
45,ΠΡΟΣ ΡΩΜΑΙΟΥΣ
46,ΠΡΟΣ ΚΟΡΙΝΘΙΟΥΣ Α΄
47,ΠΡΟΣ ΚΟΡΙΝΘΙΟΥΣ Β΄
48,ΠΡΟΣ ΓΑΛΑΤΑΣ
49,ΠΡΟΣ ΕΦΕΣΙΟΥΣ
50,ΠΡΟΣ ΦΙΛΙΠΠΗΣΙΟΥΣ
51,ΠΡΟΣ ΚΟΛΟΣΣΑΕΙΣ
52,ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Α΄
53,ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Β΄
54,Α΄ ΠΡΟΣ ΤΙΜΟΘΕΟΝ
55,Β΄ ΠΡΟΣ ΤΙΜΟΘΕΟΝ
56,ΠΡΟΣ ΤΙΤΟΝ
57,ΠΡΟΣ ΦΙΛΗΜΟΝΑ
58,ΠΡΟΣ ΕΒΡΑΙΟΥΣ
59,ΙΑΚΩΒΟΥ
60,Α΄ ΠΕΤΡΟΥ
61,Β΄ ΠΕΤΡΟΥ
62,Α΄ ΙΩΑΝΝΟΥ
63,Β΄ ΙΩΑΝΝΟΥ
64,Γ΄ ΙΩΑΝΝΟΥ
65,ΙΟΥΔΑ
66,ΑΠΟΚΑΛΥΨΗ ΙΩΑΝΝΟΥ
